Wall time,Step,Value
1542030080.7704046,25,0.0
1542030097.8753133,30,0.03125
1542030164.268358,50,0.03125
1542030180.8603742,55,0.0
1542030214.1708243,65,0.0
1542030230.6703048,70,0.0
1542030247.1497905,75,0.03125
1542030280.2843614,85,0.0
1542030296.6067934,90,0.0
1542030313.000973,95,0.0625
1542030329.4423115,100,0.0
1542030395.8493056,120,0.09375
1542030545.6555102,165,0.03125
1542030562.6003184,170,0.09375
1542030595.5744963,180,0.03125
1542030645.2619593,195,0.0
1542030661.9770408,200,0.0
1542030695.4476998,210,0.0
1542030727.7552085,220,0.0
1542030744.380783,225,0.0625
1542030777.7770634,235,0.03125
1542030810.6501036,245,0.0625
1542030827.5115535,250,0.03125
1542030877.453703,265,0.0
1542030894.277958,270,0.03125
1542030910.832282,275,0.0
1542030927.6785302,280,0.0
1542030944.185391,285,0.03125
1542030994.0739532,300,0.0625
1542031010.6355941,305,0.03125
1542031044.0305607,315,0.0625
1542031077.7932005,325,0.0625
1542031094.1348348,330,0.03125
1542031110.625044,335,0.0
1542031130.0176952,340,0.03125
1542031179.913124,355,0.0
1542031196.7205403,360,0.0
1542031213.4441226,365,0.03125
1542031230.1360009,370,0.0
1542031263.3964179,380,0.0625
1542031312.910686,395,0.0625
1542031395.9329555,420,0.0
1542031412.5092793,425,0.03125
1542031428.747557,430,0.0
1542031445.0976706,435,0.0625
1542031461.663808,440,0.0625
1542031478.4794555,445,0.03125
1542031561.5796232,470,0.0
1542031694.8507457,510,0.0
1542031744.8888953,525,0.0625
1542031761.1421618,530,0.0625
1542031877.6609151,565,0.09375
1542031928.1787424,580,0.03125
1542031961.1495736,590,0.0
1542031978.020112,595,0.0625
1542031994.6747925,600,0.03125
1542032060.8599005,620,0.0
1542032077.2163844,625,0.15625
1542032093.392382,630,0.0625
1542032143.2046373,645,0.1875
1542032159.780064,650,0.15625
1542032209.5873399,665,0.1875
1542032278.5047953,685,0.1875
1542032311.815198,695,0.25
1542032345.3644478,705,0.21875
1542032362.794582,710,0.25
1542032380.1550086,715,0.15625
1542032397.4601164,720,0.125
1542032463.0409384,740,0.34375
1542032496.6085224,750,0.3125
1542032546.5441754,765,0.3125
1542032563.026458,770,0.28125
1542032580.0136323,775,0.3125
1542032613.8941813,785,0.3125
1542032630.798231,790,0.40625
1542032647.3685112,795,0.21875
1542032697.6051657,810,0.4375
1542032731.1996262,820,0.46875
1542032748.1068814,825,0.4375
1542032781.2188544,835,0.4375
1542032797.8694553,840,0.28125
1542032848.2568905,855,0.15625
1542032931.5970643,880,0.46875
1542032948.2876942,885,0.46875
1542032964.9161966,890,0.40625
1542032998.5437758,900,0.375
1542033048.4074085,915,0.59375
1542033081.8316345,925,0.40625
1542033098.470931,930,0.46875
1542033132.0302567,940,0.40625
1542033165.7801774,950,0.53125
1542033182.3210459,955,0.375
1542033300.211445,990,0.53125
1542033369.891,1010,0.25
1542033437.1648395,1030,0.375
1542033453.4157887,1035,0.375
1542033469.7069926,1040,0.5625
1542033535.2813306,1060,0.5
1542033584.8201706,1075,0.5
1542033634.5877147,1090,0.46875
1542033651.0994923,1095,0.59375
1542033701.5958817,1110,0.625
1542033718.4110749,1115,0.5
1542033751.6925573,1125,0.71875
1542033768.7770002,1130,0.5625
1542033785.3673174,1135,0.4375
1542033818.36186,1145,0.65625
1542033868.4309313,1160,0.6875
1542033885.3244255,1165,0.46875
1542033902.1279793,1170,0.4375
1542033952.9553735,1185,0.5625
1542034003.3851848,1200,0.6875
1542034085.7663982,1225,0.59375
1542034119.1474085,1235,0.625
1542034151.8211956,1245,0.53125
1542034168.162095,1250,0.53125
1542034251.5902398,1275,0.625
1542034302.294569,1290,0.625
1542034320.2133517,1295,0.59375
1542034337.7306118,1300,0.71875
1542034355.2556603,1305,0.65625
1542034390.308254,1315,0.46875
1542034458.4202917,1335,0.59375
1542034494.984252,1345,0.5625
1542034529.0751908,1355,0.71875
1542034563.7890308,1365,0.71875
1542034650.4446428,1390,0.65625
1542034684.779877,1400,0.53125
1542034754.1084068,1420,0.65625
1542034840.9525752,1445,0.71875
1542034875.723094,1455,0.5625
1542034893.016493,1460,0.6875
1542034945.5403378,1475,0.6875
1542034981.2957397,1485,0.75
1542034998.7876213,1490,0.75
1542035016.7384496,1495,0.625
1542035051.6521244,1505,0.6875
1542035068.69691,1510,0.65625
1542035086.020661,1515,0.5625
1542035155.8760128,1535,0.65625
1542035172.853642,1540,0.8125
1542035206.4951944,1550,0.59375
1542035256.983947,1565,0.59375
1542035325.111211,1585,0.84375
1542035342.3304043,1590,0.6875
1542035358.9844446,1595,0.65625
1542035375.3211117,1600,0.71875
1542035409.7203069,1610,0.6875
1542035459.8702157,1625,0.78125
1542035476.0931935,1630,0.71875
1542035493.2515397,1635,0.78125
1542035543.7436218,1650,0.6875
1542035561.102403,1655,0.78125
1542035594.791807,1665,0.65625
1542035698.7008493,1695,0.8125
1542035732.2328398,1705,0.71875
1542035782.8407843,1720,0.65625
1542035799.8400586,1725,0.6875
1542035833.7633317,1735,0.6875
1542035850.1537971,1740,0.8125
1542035933.7136075,1765,0.78125
1542035950.6856654,1770,0.875
1542035983.4447293,1780,0.71875
1542036016.9209228,1790,0.75
1542036034.3886461,1795,0.8125
1542036051.5820339,1800,0.90625
1542036101.7198465,1815,0.84375
1542036118.4472356,1820,0.75
1542036169.1498764,1835,0.75
1542036185.420274,1840,0.84375
1542036220.374755,1850,0.75
1542036237.8597205,1855,0.8125
1542036273.3082118,1865,0.71875
1542036345.045733,1885,0.71875
1542036362.9558938,1890,0.71875
1542036381.2999208,1895,0.625
1542036417.062279,1905,0.6875
1542036434.2511103,1910,0.84375
1542036484.5189326,1925,0.71875
1542036501.6462193,1930,0.75
1542036518.901951,1935,0.71875
1542036536.3165042,1940,0.8125
1542036570.4396117,1950,0.6875
1542036587.2241645,1955,0.6875
1542036604.6791105,1960,0.78125
1542036621.2400448,1965,0.59375
1542036777.36474,2010,0.6875
1542036797.4577472,2015,0.875
1542036832.3408105,2025,0.78125
1542036885.0243685,2040,0.5625
1542037009.1091216,2075,0.78125
1542037027.1968997,2080,0.8125
1542037102.412133,2100,0.6875
1542037121.6904051,2105,0.75
1542037140.8622942,2110,0.8125
1542037178.8292477,2120,0.71875
1542037216.6061459,2130,0.78125
1542037291.5239131,2150,0.75
1542037454.3303516,2195,0.6875
1542037472.477246,2200,0.84375
1542037490.297031,2205,0.71875
1542037508.1370416,2210,0.90625
1542037543.2029355,2220,0.71875
1542037561.1280766,2225,0.875
1542037615.0413609,2240,0.84375
1542037668.2734299,2255,0.8125
1542037792.4915297,2290,0.84375
1542037810.7257416,2295,0.75
1542037828.7517653,2300,0.84375
1542037846.3980732,2305,0.84375
1542037882.0419743,2315,0.6875
1542037899.7100608,2320,0.6875
1542037917.4810724,2325,0.71875
1542037952.892832,2335,0.875
1542037970.522299,2340,0.75
1542037988.3845587,2345,0.90625
1542038026.4590735,2355,0.875
1542038061.9187255,2365,0.78125
1542038079.3516605,2370,0.90625
1542038151.091592,2390,0.8125
1542038274.900315,2425,0.8125
1542038327.8854759,2440,0.875
1542038345.2882776,2445,0.8125
1542038380.7756503,2455,0.875
1542038415.8899493,2465,0.8125
1542038469.8107822,2480,0.78125
1542038665.4914432,2535,0.84375
1542038718.8304732,2550,0.78125
1542038736.7059746,2555,0.78125
1542038754.3866189,2560,0.75
1542038790.0685098,2570,0.8125
1542038825.1262405,2580,0.90625
1542038842.4622898,2585,0.75
1542038877.7079709,2595,0.875
1542038965.9533541,2620,0.875
1542038983.3067753,2625,0.875
1542039089.6480017,2655,0.78125
1542039125.1706991,2665,0.84375
1542039142.9503036,2670,0.71875
1542039160.7775447,2675,0.875
1542039178.4161882,2680,0.875
1542039198.5652926,2685,0.875
1542039216.5316424,2690,0.84375
1542039234.503623,2695,0.84375
1542039252.3461277,2700,0.84375
1542039269.7885516,2705,0.8125
1542039287.4712677,2710,0.90625
1542039322.8763447,2720,0.78125
1542039376.022108,2735,0.84375
1542039393.5043974,2740,0.84375
1542039410.748267,2745,0.6875
1542039445.927441,2755,0.71875
1542039517.4841464,2775,0.75
1542039552.7783456,2785,0.71875
1542039588.300639,2795,0.8125
1542039658.5812173,2815,0.96875
1542039676.2572112,2820,0.65625
1542039694.416651,2825,0.8125
1542039729.8160186,2835,0.84375
1542039765.3177462,2845,0.78125
1542039801.0594995,2855,0.8125
1542039836.974281,2865,0.75
1542039854.9860976,2870,0.84375
1542039908.261902,2885,0.71875
1542039943.8150713,2895,0.84375
1542039961.1665766,2900,0.78125
1542039978.5569856,2905,0.84375
1542039996.5577378,2910,0.78125
1542040014.4807055,2915,0.875
1542040031.9047167,2920,0.78125
1542040066.9877717,2930,0.875
1542040084.680598,2935,0.8125
1542040174.4526093,2960,0.875
1542040192.7569673,2965,0.6875
1542040228.4297068,2975,0.8125
1542040246.1597993,2980,0.78125
1542040263.6653013,2985,0.875
1542040317.2044613,3000,0.84375
1542040352.6950262,3010,0.8125
1542040390.8492205,3020,0.84375
1542040426.6526735,3030,0.8125
1542040462.0987482,3040,0.875
1542040497.7093754,3050,0.65625
1542040515.3252108,3055,0.875
1542040533.2421172,3060,0.78125
1542040586.552597,3075,0.75
1542040657.6593559,3095,0.84375
1542040675.7588923,3100,0.84375
1542040711.3732674,3110,0.78125
1542040729.3232443,3115,0.875
1542040764.2062092,3125,0.84375
1542040835.2731402,3145,0.875
1542040924.42915,3170,0.75
1542041048.320493,3205,0.71875
1542041065.9407458,3210,0.90625
1542041101.0961206,3220,0.8125
1542041118.9471314,3225,0.78125
1542041136.7151937,3230,0.875
1542041154.316237,3235,0.8125
1542041172.0345662,3240,0.78125
1542041189.8034859,3245,0.9375
1542041224.715214,3255,0.90625
1542041242.4082503,3260,0.875
1542041314.075363,3280,0.90625
1542041331.5535688,3285,0.875
1542041367.2337596,3295,0.8125
1542041402.7393599,3305,0.8125
1542041455.8147473,3320,0.78125
1542041490.9814632,3330,0.84375
1542041508.6200225,3335,0.875
1542041526.6076868,3340,0.71875
1542041582.7034748,3355,0.75
1542041600.5775707,3360,0.75
1542041618.5056512,3365,0.8125
1542041636.4022563,3370,0.84375
1542041654.0205479,3375,0.9375
1542041689.5823421,3385,0.875
1542041707.49921,3390,1.0
1542041725.4361458,3395,0.6875
1542041761.4130592,3405,0.90625
1542041779.2183409,3410,0.78125
1542041797.350283,3415,0.84375
1542041815.1150723,3420,0.9375
1542041832.8685074,3425,0.90625
1542041850.761674,3430,0.84375
1542041886.5733185,3440,0.75
1542041904.520278,3445,0.875
1542041958.34311,3460,0.90625
1542042029.6114433,3480,0.9375
1542042083.5450768,3495,0.9375
1542042101.6048713,3500,0.96875
1542042119.7336698,3505,0.8125
1542042155.9022717,3515,0.8125
1542042191.8154552,3525,0.90625
1542042209.7406023,3530,0.96875
1542042245.8651578,3540,0.78125
1542042263.828464,3545,0.75
1542042281.8960764,3550,0.875
1542042353.2963386,3570,0.875
1542042424.6111999,3590,0.75
1542042442.5050986,3595,0.8125
1542042478.5073943,3605,0.875
1542042496.3031862,3610,0.84375
1542042514.0253048,3615,0.84375
1542042531.6322858,3620,0.8125
1542042549.858329,3625,0.84375
1542042567.394488,3630,0.84375
1542042621.5453475,3645,0.90625
1542042639.446622,3650,0.875
1542042746.9612079,3680,0.78125
1542042785.3752341,3690,0.875
1542042803.2632532,3695,0.84375
1542042821.2821746,3700,0.8125
1542042838.9704173,3705,0.875
1542042874.7591918,3715,0.875
1542042928.0210655,3730,0.875
1542042945.7871706,3735,0.75
1542042999.5738575,3750,0.8125
1542043017.3494284,3755,0.90625
1542043035.0259304,3760,0.8125
1542043071.2655087,3770,0.78125
1542043107.6326368,3780,0.8125
1542043161.4542747,3795,0.84375
1542043179.4155457,3800,0.90625
1542043214.8156216,3810,0.84375
1542043269.032592,3825,0.90625
1542043286.558301,3830,0.84375
1542043304.1195812,3835,0.9375
1542043339.6665282,3845,0.8125
1542043357.507227,3850,0.9375
1542043375.3895721,3855,0.875
1542043411.085116,3865,0.71875
1542043428.7000988,3870,0.8125
1542043446.4302728,3875,0.96875
1542043535.3137403,3900,0.875
1542043606.676836,3920,0.90625
1542043624.617669,3925,0.96875
1542043660.336614,3935,0.875
1542043696.3529587,3945,0.90625
1542043731.877552,3955,0.90625
1542043749.5204709,3960,0.84375
1542043767.5620382,3965,0.8125
1542043785.222991,3970,0.875
1542043802.8622215,3975,0.90625
1542043820.8999557,3980,0.875
1542043856.8798656,3990,0.90625
1542043893.005119,4000,0.90625
1542043928.7566679,4010,0.84375
1542043985.3848367,4025,0.90625
1542044021.0025883,4035,0.90625
1542044038.840307,4040,0.9375
1542044056.865412,4045,0.9375
1542044128.763034,4065,0.84375
1542044164.1654763,4075,0.8125
1542044181.9911988,4080,0.875
1542044217.8582597,4090,0.84375
1542044272.1403167,4105,0.84375
1542044307.6326816,4115,0.78125
1542044325.2449555,4120,0.75
1542044343.0599945,4125,0.8125
1542044397.3936336,4140,0.90625
1542044451.4333456,4155,0.8125
1542044469.5358086,4160,0.90625
1542044505.2163696,4170,0.96875
1542044540.526148,4180,0.9375
1542044576.1181436,4190,0.84375
1542044666.2700698,4215,0.75
1542044701.489645,4225,0.90625
1542044719.2451775,4230,0.875
1542044736.9615667,4235,0.78125
1542044754.998788,4240,0.96875
1542044808.8228877,4255,0.9375
1542044916.295031,4285,0.875
1542044951.9840798,4295,0.90625
1542044969.860771,4300,0.875
1542044987.6611276,4305,0.875
1542045005.2630768,4310,0.875
1542045023.0281594,4315,0.90625
1542045094.7836564,4335,0.9375
1542045131.0536664,4345,0.9375
1542045148.9049654,4350,0.75
1542045204.9379182,4365,0.90625
1542045222.9033263,4370,0.9375
1542045240.7849908,4375,0.90625
1542045258.739727,4380,0.96875
1542045276.6354458,4385,0.875
1542045312.6165214,4395,0.9375
1542045330.760734,4400,0.96875
1542045348.3406374,4405,0.84375
1542045366.374107,4410,0.90625
1542045402.1625373,4420,0.875
1542045455.0380826,4435,0.84375
1542045490.3760848,4445,0.84375
1542045508.4132273,4450,0.84375
1542045543.9364018,4460,0.90625
1542045561.878218,4465,0.96875
1542045615.7165453,4480,0.9375
1542045669.9336698,4495,0.875
1542045687.6473925,4500,0.875
1542045813.8685625,4535,0.90625
1542045832.053079,4540,0.9375
1542045850.1310952,4545,0.90625
1542045868.2492802,4550,0.8125
1542045886.0186152,4555,0.8125
1542045903.763759,4560,0.90625
1542045921.8633564,4565,0.9375
1542045957.5331001,4575,0.875
1542045975.3757403,4580,0.78125
1542045993.5188208,4585,0.8125
1542046046.9567306,4600,0.9375
1542046065.0733287,4605,0.96875
1542046082.6907585,4610,0.875
1542046100.4365478,4615,0.875
1542046136.2749162,4625,0.84375
1542046243.1939652,4655,1.0
1542046261.0875292,4660,0.90625
1542046279.2352102,4665,0.90625
1542046314.5750065,4675,0.875
1542046387.8540845,4695,0.90625
1542046441.251557,4710,0.9375
1542046495.3434036,4725,0.875
1542046566.2609746,4745,0.84375
1542046620.5479023,4760,0.875
1542046638.779921,4765,1.0
1542046656.9098146,4770,0.9375
1542046692.7306864,4780,0.84375
1542046710.4726672,4785,0.875
1542046728.345124,4790,0.78125
1542046782.5045338,4805,0.875
1542046800.5151818,4810,0.90625
1542046835.9709868,4820,0.9375
1542046871.6041594,4830,0.96875
1542046889.2919593,4835,0.90625
1542046924.6528754,4845,0.9375
1542046960.4991744,4855,0.9375
1542046978.3218586,4860,0.875
1542047014.6443548,4870,0.96875
1542047050.6780193,4880,0.96875
1542047068.4157197,4885,0.9375
1542047086.3407314,4890,0.78125
1542047104.276782,4895,0.9375
1542047158.1331382,4910,0.9375
1542047175.9954033,4915,0.84375
1542047194.1739042,4920,0.9375
1542047247.5846353,4935,0.96875
1542047265.8542845,4940,0.90625
1542047408.474321,4980,0.875
1542047461.4314327,4995,0.9375
1542047479.1354733,5000,1.0
1542047515.072797,5010,0.90625
1542047550.8679218,5020,0.96875
1542047568.5158358,5025,0.96875
1542047624.705252,5040,0.96875
1542047642.8564222,5045,0.90625
1542047678.5266628,5055,0.96875
1542047696.2344143,5060,0.90625
1542047714.0908146,5065,0.96875
1542047731.9659555,5070,0.9375
1542047786.2791867,5085,0.90625
1542047929.909859,5125,0.96875
1542047948.010302,5130,0.875
1542047965.7364504,5135,0.90625
1542048001.7197323,5145,0.9375
1542048037.8410766,5155,0.875
1542048055.7585163,5160,0.90625
1542048073.9148803,5165,0.96875
1542048109.6081038,5175,0.75
