x_axis,Step,Value
10,64,0.015625
20,178,0.03125
30,271,0.028125
40,347,0.028125
50,449,0.03125
60,598,0.06875
70,703,0.21875
80,797,0.3625
90,896,0.403125
100,1023,0.446875
110,1135,0.56875
120,1250,0.609375
130,1367,0.628125
140,1492,0.6625
150,1589,0.709375
160,1692,0.728125
170,1801,0.803125
180,1891,0.734375
190,1979,0.71875
200,2126,0.7625
210,2254,0.815625
220,2346,0.8
230,2491,0.8125
240,2624,0.83125
250,2706,0.846875
260,2799,0.775
270,2892,0.803125
280,2976,0.821875
290,3073,0.809375
300,3200,0.815625
310,3291,0.8625
320,3374,0.828125
330,3442,0.871875
340,3537,0.85
350,3627,0.84375
360,3723,0.84375
370,3814,0.8625
380,3904,0.88125
390,3991,0.878125
400,4086,0.84375
410,4190,0.86875
420,4298,0.909375
430,4383,0.9
440,4468,0.8875
450,4565,0.871875
460,4651,0.909375
470,4773,0.88125
480,4857,0.921875
490,4950,0.925
500,5059,0.946875
510,5163,0.890625
520,5260,0.93125
530,5381,0.93125
540,5479,0.890625
550,5615,0.91875
560,5700,0.9125
570,5812,0.9125
580,5947,0.896875
590,6018,0.903125
600,6104,0.9
610,6210,0.915625
620,6293,0.928125
630,6379,0.915625
640,6479,0.925
650,6570,0.915625
660,6659,0.940625
670,6743,0.93125
680,6845,0.940625
690,6927,0.921875
700,7069,0.934375
710,7160,0.95625
720,7283,0.95
730,7428,0.928125
740,7525,0.95
750,7601,0.934375
760,7737,0.95
770,7864,0.953125
780,7973,0.9375
790,8058,0.93125
800,8138,0.9375
810,8212,0.978125
820,8288,0.94375
830,8379,0.953125
840,8469,0.9625
850,8550,0.9375
860,8649,0.95
870,8727,0.959375
880,8841,0.96875
890,8946,0.94375
900,9046,0.928125
910,9165,0.94375
920,9245,0.9625
930,9346,0.94375
940,9446,0.95
950,9540,0.965625
960,9615,0.953125
970,9700,0.946875
980,9795,0.946875
990,9916,0.959375
1000,10027,0.95625
